1.570973992,1.67E-05,4.74E-05,-1.570978045,-4.89E-05,0.000211239,-0.000125647,0.149918497,-1.124891162,0.776419282,-4.55E-05,-7.34E-05,2.11E-05,-1.269126534,1.105885744,1.389024258,0,0.872440577,1.990473986,-1.269697309,1.291623116,1.218110323,0.15386939,-0.62884748,1.43761301,-1.572023988,-0.000482619,89.96768204,0.153877407,-0.484706998,1.436050057,1.569088817,-0.977621019,1.566943169,0.149999768,0.025000006,1.539999723,1.745352149,0,0,1283
1.570544124,-0.000255585,0.043154716,-1.57110703,-3.46E-05,0.000459433,0.000397444,0.14992772,-1.12494421,0.776479781,0.000721965,-0.000589512,0.000194127,-0.160327792,1.42340064,1.233285189,0,0.034311533,2.101089478,-0.162071586,1.477522373,1.250273466,0.130320624,-0.631646752,1.438962936,-1.570312142,-0.043721329,1.566831112,0.153877407,-0.484706998,1.436050057,-0.283185303,0,0,0.149999768,0.025000006,1.539999723,1.745352149,0,0,1126
1.57041657,0.000148773,-0.000153065,-1.570848346,-5.10E-05,0.000111103,-7.75E-05,0.149920747,-1.1248914,0.776416481,-0.000138719,1.37E-05,-6.87E-05,-0.616630197,1.382712603,1.192843914,0,1.13872242,1.1723876,-0.616018414,1.291892767,1.176964998,0.155001611,-0.628397465,1.437517285,-1.572210193,0.001421422,1.570893168,0.153877407,-0.484706998,1.436050057,3.141592741,-0.858407378,-0.141592637,0.149999768,0.025000006,1.539999723,1.745352149,0,0,1220
1,2,3,4,5.00E+00,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,,,,,,base p,,,base r,,,hand,,,,,,,,,hand p,,,hand r,,,obj p,,,obj r,,,cam p,,,cam r,,,vis
,,,,,,,,,,,,,-72.71559407,63.36258575,79.58522762,,49.98716294,114.0457586,-72.74829706,74.00455327,69.79258049,,,,-90.07033981,-0.027652032,,,,,,,,,,,,,,
,,,,,,,,,,,,,107.2844059,243.3625858,100.4147724,,,,,105.9954467,110.2074195,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,26.63741425,10.41477238,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Prox 1,med ,dist,Prox nonexistent,med,dist,Prox 2,med,dist,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,rev sign?,,,rev sign,rev sign,,rev sign,,,,,,,,,,,,,,,,,,,
